Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density,vector_core
conv1,224,224,7,7,3,64,2,1.0,1.0,1.0,0
layer1.0.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer1.0.mask_c1.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.0.mask_c1.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.0.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.0.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.0.conv1,56,56,1,1,64,64,1,0.0,0.6534864902496338,1.0,0
layer1.0.conv2,56,56,3,3,64,64,1,0.0,0.984375,0.6534864902496338,0
layer1.0.conv3,56,56,1,1,64,256,1,0.0,1.0,0.984375,0
layer1.0.downsample,56,56,1,1,64,256,1,1.0,1.0,1.0,0
layer1.1.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer1.1.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer1.1.mask_c1.atten_c.3,1,1,1,1,64,64,1,1.0,1.0,1.0,1
layer1.1.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.1.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.1.conv1,56,56,1,1,256,64,1,0.0,0.5743696093559265,1.0,0
layer1.1.conv2,56,56,3,3,64,64,1,0.0,0.421875,0.5743696093559265,0
layer1.1.conv3,56,56,1,1,64,256,1,0.0,1.0,0.421875,0
layer1.2.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer1.2.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer1.2.mask_c1.atten_c.3,1,1,1,1,64,64,1,1.0,1.0,1.0,1
layer1.2.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.2.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.2.conv1,56,56,1,1,256,64,1,0.0,0.5823270082473755,1.0,0
layer1.2.conv2,56,56,3,3,64,64,1,0.0,0.46875,0.5823270082473755,0
layer1.2.conv3,56,56,1,1,64,256,1,0.0,1.0,0.46875,0
layer2.0.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer2.0.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer2.0.mask_c1.atten_c.3,1,1,1,1,64,128,1,1.0,1.0,1.0,1
layer2.0.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.0.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.0.conv1,56,56,1,1,256,128,1,0.9917958565056324,0.17188185453414917,1.0,0
layer2.0.conv2,56,56,3,3,128,128,2,0.9917958565056324,0.5612960159778595,0.17188185453414917,0
layer2.0.conv3,28,28,1,1,128,512,1,0.9917958565056324,1.0,0.5612960159778595,0
layer2.0.downsample,56,56,1,1,256,512,2,1.0,1.0,1.0,0
layer2.1.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.1.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.1.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.1.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.1.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.1.conv1,28,28,1,1,512,128,1,0.972886411473155,0.11990368366241455,1.0,0
layer2.1.conv2,28,28,3,3,128,128,1,0.972886411473155,0.027888834476470947,0.11990368366241455,0
layer2.1.conv3,28,28,1,1,128,512,1,0.972886411473155,1.0,0.027888834476470947,0
layer2.2.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.2.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.2.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.2.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.2.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.2.conv1,28,28,1,1,512,128,1,7.748603820800781e-07,0.588624119758606,1.0,0
layer2.2.conv2,28,28,3,3,128,128,1,7.748603820800781e-07,0.7968717068433762,0.588624119758606,0
layer2.2.conv3,28,28,1,1,128,512,1,7.748603820800781e-07,1.0,0.7968717068433762,0
layer2.3.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.3.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.3.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.3.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.3.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.3.conv1,28,28,1,1,512,128,1,0.0,0.6070035398006439,1.0,0
layer2.3.conv2,28,28,3,3,128,128,1,0.0,0.5859375,0.6070035398006439,0
layer2.3.conv3,28,28,1,1,128,512,1,0.0,1.0,0.5859375,0
layer3.0.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer3.0.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer3.0.mask_c1.atten_c.3,1,1,1,1,128,256,1,1.0,1.0,1.0,1
layer3.0.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.0.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.0.conv1,28,28,1,1,512,256,1,0.9415219575166702,0.33761072158813477,1.0,0
layer3.0.conv2,28,28,3,3,256,256,2,0.9415219575166702,0.6494078040122986,0.33761072158813477,0
layer3.0.conv3,14,14,1,1,256,1024,1,0.9415219575166702,1.0,0.6494078040122986,0
layer3.0.downsample,28,28,1,1,512,1024,2,1.0,1.0,1.0,0
layer3.1.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.1.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.1.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.1.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.1.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.1.conv1,14,14,1,1,1024,256,1,0.9383879452943802,0.24838441610336304,1.0,0
layer3.1.conv2,14,14,3,3,256,256,1,0.9383879452943802,0.3811115026473999,0.24838441610336304,0
layer3.1.conv3,14,14,1,1,256,1024,1,0.9383879452943802,1.0,0.3811115026473999,0
layer3.2.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.2.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.2.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.2.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.2.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.2.conv1,14,14,1,1,1024,256,1,0.8307323902845383,0.29675883054733276,1.0,0
layer3.2.conv2,14,14,3,3,256,256,1,0.8307323902845383,0.6175996363162994,0.29675883054733276,0
layer3.2.conv3,14,14,1,1,256,1024,1,0.8307323902845383,1.0,0.6175996363162994,0
layer3.3.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.3.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.3.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.3.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.3.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.3.conv1,14,14,1,1,1024,256,1,0.7822418212890625,0.2969115376472473,1.0,0
layer3.3.conv2,14,14,3,3,256,256,1,0.7822418212890625,0.45628219842910767,0.2969115376472473,0
layer3.3.conv3,14,14,1,1,256,1024,1,0.7822418212890625,1.0,0.45628219842910767,0
layer3.4.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.4.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.4.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.4.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.4.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.4.conv1,14,14,1,1,1024,256,1,1.5497207641601562e-06,0.5781156718730927,1.0,0
layer3.4.conv2,14,14,3,3,256,256,1,1.5497207641601562e-06,0.8906241357326508,0.5781156718730927,0
layer3.4.conv3,14,14,1,1,256,1024,1,1.5497207641601562e-06,1.0,0.8906241357326508,0
layer3.5.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.5.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.5.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.5.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.5.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.5.conv1,14,14,1,1,1024,256,1,0.7922259271144867,0.18038928508758545,1.0,0
layer3.5.conv2,14,14,3,3,256,256,1,0.7922259271144867,0.20769870281219482,0.18038928508758545,0
