Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
conv1,224,224,7,7,3,64,2
layer1.0.conv1,56,56,3,3,64,64,1
layer1.0.conv2,56,56,3,3,64,64,1
layer1.1.conv1,56,56,3,3,64,64,1
layer1.1.conv2,56,56,3,3,64,64,1
layer1.2.conv1,56,56,3,3,64,64,1
layer1.2.conv2,56,56,3,3,64,64,1
layer2.0.conv1,56,56,3,3,64,128,2
layer2.0.conv2,28,28,3,3,128,128,1
layer2.0.downsample.0,56,56,1,1,64,128,2
layer2.1.conv1,28,28,3,3,128,128,1
layer2.1.conv2,28,28,3,3,128,128,1
layer2.2.conv1,28,28,3,3,128,128,1
layer2.2.conv2,28,28,3,3,128,128,1
layer2.3.conv1,28,28,3,3,128,128,1
layer2.3.conv2,28,28,3,3,128,128,1
layer3.0.conv1,28,28,3,3,128,256,2
layer3.0.conv2,14,14,3,3,256,256,1
layer3.0.downsample.0,28,28,1,1,128,256,2
layer3.1.conv1,14,14,3,3,256,256,1
layer3.1.conv2,14,14,3,3,256,256,1
layer3.2.conv1,14,14,3,3,256,256,1
layer3.2.conv2,14,14,3,3,256,256,1
layer3.3.conv1,14,14,3,3,256,256,1
layer3.3.conv2,14,14,3,3,256,256,1
layer3.4.conv1,14,14,3,3,256,256,1
layer3.4.conv2,14,14,3,3,256,256,1
layer3.5.conv1,14,14,3,3,256,256,1
layer3.5.conv2,14,14,3,3,256,256,1
layer4.0.conv1,14,14,3,3,256,512,2
layer4.0.conv2,7,7,3,3,512,512,1
layer4.0.downsample.0,14,14,1,1,256,512,2
layer4.1.conv1,7,7,3,3,512,512,1
layer4.1.conv2,7,7,3,3,512,512,1
layer4.2.conv1,7,7,3,3,512,512,1
layer4.2.conv2,7,7,3,3,512,512,1
fc,1,1,1,1,512,1000,1
