Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density,vector_core
conv1,224,224,7,7,3,64,2,1.0,1.0,1.0,0
layer1.0.mask_s.atten_s,7,7,3,3,64,1,1,1.0,1.0,1.0,1
layer1.0.mask_c1.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.0.mask_c1.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.0.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.0.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.0.conv1,56,56,1,1,64,64,1,0.008244514465332031,0.572147935628891,1.0,0
layer1.0.conv2,56,56,3,3,64,64,1,0.008244514465332031,0.8345922231674194,0.572147935628891,0
layer1.0.conv3,56,56,1,1,64,256,1,0.008244514465332031,1.0,0.8345922231674194,0
layer1.0.downsample,56,56,1,1,64,256,1,1.0,1.0,1.0,0
layer1.1.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer1.1.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer1.1.mask_c1.atten_c.3,1,1,1,1,64,64,1,1.0,1.0,1.0,1
layer1.1.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.1.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.1.conv1,56,56,1,1,256,64,1,0.0,0.6330638229846954,1.0,0
layer1.1.conv2,56,56,3,3,64,64,1,0.0,0.296875,0.6330638229846954,0
layer1.1.conv3,56,56,1,1,64,256,1,0.0,1.0,0.296875,0
layer1.2.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer1.2.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer1.2.mask_c1.atten_c.3,1,1,1,1,64,64,1,1.0,1.0,1.0,1
layer1.2.mask_c2.atten_c.0,1,1,1,1,64,16,1,1.0,1.0,1.0,1
layer1.2.mask_c2.atten_c.3,1,1,1,1,16,64,1,1.0,1.0,1.0,1
layer1.2.conv1,56,56,1,1,256,64,1,0.0,0.6349587440490723,1.0,0
layer1.2.conv2,56,56,3,3,64,64,1,0.0,0.890625,0.6349587440490723,0
layer1.2.conv3,56,56,1,1,64,256,1,0.0,1.0,0.890625,0
layer2.0.mask_s.atten_s,7,7,3,3,256,1,1,1.0,1.0,1.0,1
layer2.0.mask_c1.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer2.0.mask_c1.atten_c.3,1,1,1,1,64,128,1,1.0,1.0,1.0,1
layer2.0.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.0.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.0.conv1,56,56,1,1,256,128,1,0.0,0.6506615281105042,1.0,0
layer2.0.conv2,56,56,3,3,128,128,2,0.0,1.0,0.6506615281105042,0
layer2.0.conv3,28,28,1,1,128,512,1,0.0,1.0,1.0,0
layer2.0.downsample,56,56,1,1,256,512,2,1.0,1.0,1.0,0
layer2.1.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.1.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.1.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.1.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.1.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.1.conv1,28,28,1,1,512,128,1,0.9854894336313009,0.1722394824028015,1.0,0
layer2.1.conv2,28,28,3,3,128,128,1,0.9854894336313009,0.23349088430404663,0.1722394824028015,0
layer2.1.conv3,28,28,1,1,128,512,1,0.9854894336313009,1.0,0.23349088430404663,0
layer2.2.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.2.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.2.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.2.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.2.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.2.conv1,28,28,1,1,512,128,1,0.9960009474307299,0.2055579423904419,1.0,0
layer2.2.conv2,28,28,3,3,128,128,1,0.9960009474307299,0.34024983644485474,0.2055579423904419,0
layer2.2.conv3,28,28,1,1,128,512,1,0.9960009474307299,1.0,0.34024983644485474,0
layer2.3.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer2.3.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer2.3.mask_c1.atten_c.3,1,1,1,1,128,128,1,1.0,1.0,1.0,1
layer2.3.mask_c2.atten_c.0,1,1,1,1,128,32,1,1.0,1.0,1.0,1
layer2.3.mask_c2.atten_c.3,1,1,1,1,32,128,1,1.0,1.0,1.0,1
layer2.3.conv1,28,28,1,1,512,128,1,0.9635960459709167,0.2763383984565735,1.0,0
layer2.3.conv2,28,28,3,3,128,128,1,0.9635960459709167,0.6424464881420135,0.2763383984565735,0
layer2.3.conv3,28,28,1,1,128,512,1,0.9635960459709167,1.0,0.6424464881420135,0
layer3.0.mask_s.atten_s,7,7,3,3,512,1,1,1.0,1.0,1.0,1
layer3.0.mask_c1.atten_c.0,1,1,1,1,512,128,1,1.0,1.0,1.0,1
layer3.0.mask_c1.atten_c.3,1,1,1,1,128,256,1,1.0,1.0,1.0,1
layer3.0.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.0.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.0.conv1,28,28,1,1,512,256,1,0.9208897650241852,0.5488665401935577,1.0,0
layer3.0.conv2,28,28,3,3,256,256,2,0.9208897650241852,0.7112671732902527,0.5488665401935577,0
layer3.0.conv3,14,14,1,1,256,1024,1,0.9208897650241852,1.0,0.7112671732902527,0
layer3.0.downsample,28,28,1,1,512,1024,2,1.0,1.0,1.0,0
layer3.1.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.1.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.1.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.1.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.1.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.1.conv1,14,14,1,1,1024,256,1,0.9122604131698608,0.34916675090789795,1.0,0
layer3.1.conv2,14,14,3,3,256,256,1,0.9122604131698608,0.44632798433303833,0.34916675090789795,0
layer3.1.conv3,14,14,1,1,256,1024,1,0.9122604131698608,1.0,0.44632798433303833,0
layer3.2.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.2.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.2.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.2.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.2.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.2.conv1,14,14,1,1,1024,256,1,0.8873090967535973,0.31333547830581665,1.0,0
layer3.2.conv2,14,14,3,3,256,256,1,0.8873090967535973,0.5766178965568542,0.31333547830581665,0
layer3.2.conv3,14,14,1,1,256,1024,1,0.8873090967535973,1.0,0.5766178965568542,0
layer3.3.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.3.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.3.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.3.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.3.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.3.conv1,14,14,1,1,1024,256,1,0.7932610213756561,0.34033966064453125,1.0,0
layer3.3.conv2,14,14,3,3,256,256,1,0.7932610213756561,0.4892561435699463,0.34033966064453125,0
layer3.3.conv3,14,14,1,1,256,1024,1,0.7932610213756561,1.0,0.4892561435699463,0
layer3.4.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.4.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.4.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.4.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.4.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.4.conv1,14,14,1,1,1024,256,1,0.843550905585289,0.3102274537086487,1.0,0
layer3.4.conv2,14,14,3,3,256,256,1,0.843550905585289,0.43744778633117676,0.3102274537086487,0
layer3.4.conv3,14,14,1,1,256,1024,1,0.843550905585289,1.0,0.43744778633117676,0
layer3.5.mask_s.atten_s,7,7,3,3,1024,1,1,1.0,1.0,1.0,1
layer3.5.mask_c1.atten_c.0,1,1,1,1,1024,256,1,1.0,1.0,1.0,1
layer3.5.mask_c1.atten_c.3,1,1,1,1,256,256,1,1.0,1.0,1.0,1
layer3.5.mask_c2.atten_c.0,1,1,1,1,256,64,1,1.0,1.0,1.0,1
layer3.5.mask_c2.atten_c.3,1,1,1,1,64,256,1,1.0,1.0,1.0,1
layer3.5.conv1,14,14,1,1,1024,256,1,0.869699701666832,0.378642737865448,1.0,0
layer3.5.conv2,14,14,3,3,256,256,1,0.869699701666832,0.39740604162216187,0.378642737865448,0
